30 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
30/05/2018 22:08,50,1,100
31/05/2018 11:15,25,1,100
31/05/2018 13:50,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 15:32,25,1,100
31/05/2018 16:10,75,1,100
31/05/2018 16:59,75,1,100
31/05/2018 17:47,75,1,100
31/05/2018 18:31,25,1,100
31/05/2018 18:31,25,1,100
31/05/2018 19:18,25,1,100
31/05/2018 19:18,25,1,100
01/06/2018 23:57,25,1,100
01/06/2018 00:41,25,1,100
01/06/2018 1:14,25,1,100
01/06/2018 1:14,25,1,100
01/06/2018 15:40,25,1,100
01/06/2018 15:52,25,1,100
01/06/2018 16:25,25,1,100
01/06/2018 18:45,75,1,100
01/06/2018 18:45,75,1,100
01/06/2018 21:13,75,1,100
01/06/2018 22:06,75,1,100
01/06/2018 22:38,75,1,100
01/06/2018 23:01,25,1,100
01/06/2018 23:22,25,1,100
02/06/2018 00:12,25,1,100
02/06/2018 00:36,25,1,100
02/06/2018 00:52,25,1,100
02/06/2018 00:52,25,1,100
02/06/2018 00:52,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 10:09,25,1,100
04/06/2018 10:18,25,1,100
04/06/2018 10:59,25,1,100
04/06/2018 11:40,25,1,100
04/06/2018 13:56,25,1,100
04/06/2018 17:24,50,1,100
04/06/2018 17:47,50,1,100
04/06/2018 18:30,50,1,100
04/06/2018 18:30,50,1,100
04/06/2018 18:30,50,1,100
04/06/2018 19:53,75,1,100
04/06/2018 20:32,75,1,100
04/06/2018 21:07,75,1,100
04/06/2018 22:13,25,1,100
04/06/2018 22:28,25,1,100
04/06/2018 22:56,25,1,100
04/06/2018 22:56,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 11:05,50,1,100
05/06/2018 11:30,50,1,100
05/06/2018 24:07,50,1,100
05/06/2018 24:07,50,1,100
05/06/2018 13:11,50,1,100
05/06/2018 13:37,50,1,100
05/06/2018 14:32,50,1,100
05/06/2018 14:32,50,1,100
05/06/2018 15:42,50,1,100
05/06/2018 16:07,50,1,100
05/06/2018 16:36,50,1,100
05/06/2018 17:05,50,1,100
05/06/2018 17:37,50,1,100
05/06/2018 18:02,50,1,100
05/06/2018 18:43,75,1,100
05/06/2018 19:13,75,1,100
05/06/2018 19:39,75,1,100
05/06/2018 19:46,75,1,100
05/06/2018 22:34,25,1,100
05/06/2018 23:06,25,1,100
05/06/2018 23:39,25,1,100
06/06/2018 23:39,25,1,100
06/06/2018 00:29,25,1,100
06/06/2018 00:29,25,1,100
06/06/2018 00:29,25,1,100
06/06/2018 00:29,25,1,100
06/06/2018 00:29,25,1,100
06/06/2018 11:16,50,1,100
06/06/2018 24:11,50,1,100
06/06/2018 24:33,50,1,100
06/06/2018 24:33,50,1,100
06/06/2018 13:38,50,1,100
06/06/2018 13:38,50,1,100
06/06/2018 14:32,50,1,100
06/06/2018 15:07,50,1,100
06/06/2018 15:36,50,1,100
06/06/2018 16:04,50,1,100
06/06/2018 16:32,50,1,100
06/06/2018 16:32,50,1,100
06/06/2018 16:32,50,1,100
06/06/2018 18:00,25,1,100
06/06/2018 18:41,25,1,100
06/06/2018 18:41,25,1,100
06/06/2018 19:26,25,1,100
06/06/2018 20:13,25,1,100
06/06/2018 22:12,50,1,100
06/06/2018 22:37,25,1,100
06/06/2018 23:04,25,1,100
06/06/2018 23:28,25,1,100
07/06/2018 00:12,25,1,100
07/06/2018 00:12,25,1,100
07/06/2018 00:50,25,1,100
07/06/2018 00:50,25,1,100
07/06/2018 11:36,50,1,100
07/06/2018 13:49,50,1,100
07/06/2018 14:37,50,1,100
07/06/2018 15:02,50,1,100
07/06/2018 15:37,50,1,100
07/06/2018 15:53,50,1,100
07/06/2018 16:15,50,1,100
07/06/2018 17:12,75,1,100
07/06/2018 17:37,75,1,100
07/06/2018 18:06,75,1,100
07/06/2018 18:06,75,1,100
07/06/2018 19:11,75,1,100
07/06/2018 19:24,75,1,100
07/06/2018 20:10,75,1,100
07/06/2018 20:34,75,1,100
07/06/2018 21:44,75,1,100
07/06/2018 22:16,25,1,100
07/06/2018 23:10,25,1,100
07/06/2018 23:29,25,1,100
08/06/2018 23:29,25,1,100
08/06/2018 23:29,25,1,100
08/06/2018 00:52,25,1,100
08/06/2018 00:52,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 10:50,50,1,100
08/06/2018 11:39,50,1,100
08/06/2018 24:11,50,1,100
08/06/2018 24:41,50,1,100
08/06/2018 24:41,50,1,100
08/06/2018 13:34,50,1,100
08/06/2018 13:51,50,1,100
08/06/2018 14:38,50,1,100
08/06/2018 14:38,50,1,100
08/06/2018 15:31,50,1,100
08/06/2018 16:10,50,1,100
08/06/2018 16:10,50,1,100
08/06/2018 16:47,50,1,100
08/06/2018 16:47,50,1,100
08/06/2018 18:01,25,1,100
08/06/2018 18:01,25,1,100
08/06/2018 18:45,25,1,100
08/06/2018 19:42,25,1,100
08/06/2018 22:52,25,1,100
08/06/2018 23:38,25,1,100
09/06/2018 23:38,25,1,100
09/06/2018 00:36,25,1,100
09/06/2018 00:36,25,1,100
09/06/2018 00:36,25,1,100
09/06/2018 24:54,50,1,100
09/06/2018 13:29,50,1,100
09/06/2018 14:10,50,1,100
09/06/2018 14:10,50,1,100
09/06/2018 15:13,50,1,100
09/06/2018 15:35,50,1,100
09/06/2018 16:04,50,1,100
09/06/2018 16:14,50,1,100
10/06/2018 1:21,50,1,100
10/06/2018 1:21,50,1,100
10/06/2018 1:21,50,1,100
10/06/2018 1:21,50,1,100
10/06/2018 1:21,50,1,100
10/06/2018 10:58,50,1,100
10/06/2018 24:14,50,1,100
10/06/2018 24:36,50,1,100
10/06/2018 24:36,50,1,100
10/06/2018 13:21,50,1,100
10/06/2018 13:51,50,1,100
10/06/2018 14:30,50,1,100
10/06/2018 14:30,50,1,100
10/06/2018 15:37,50,1,100
10/06/2018 15:37,50,1,100
10/06/2018 15:37,50,1,100
10/06/2018 15:37,50,1,100
10/06/2018 15:37,50,1,100
10/06/2018 18:08,50,1,100
10/06/2018 18:15,50,1,100
10/06/2018 18:15,50,1,100
10/06/2018 19:28,50,1,100
10/06/2018 19:28,50,1,100
10/06/2018 19:28,50,1,100
10/06/2018 19:28,50,1,100
10/06/2018 21:37,25,1,100
10/06/2018 21:37,25,1,100
10/06/2018 21:37,25,1,100
10/06/2018 21:37,25,1,100
10/06/2018 21:37,25,1,100
11/06/2018 21:37,25,1,100
11/06/2018 21:37,25,1,100
11/06/2018 21:37,25,1,100
11/06/2018 21:37,25,1,100
11/06/2018 21:37,25,1,100
11/06/2018 11:12,25,1,100
11/06/2018 11:38,25,1,100
11/06/2018 24:04,25,1,100
11/06/2018 24:04,25,1,100
11/06/2018 24:04,25,1,100
11/06/2018 13:42,25,1,100
11/06/2018 14:00,25,1,100
11/06/2018 14:43,25,1,100
11/06/2018 14:43,25,1,100
11/06/2018 14:43,25,1,100
11/06/2018 16:02,25,1,100
11/06/2018 16:15,25,1,100
11/06/2018 16:15,25,1,100
11/06/2018 16:15,25,1,100
11/06/2018 19:08,25,1,100
11/06/2018 19:08,25,1,100
11/06/2018 19:08,25,1,100
11/06/2018 21:44,25,1,100
12/06/2018 00:23,25,1,100
12/06/2018 22:55,25,1,100
13/06/2018 23:51,25,1,100
13/06/2018 00:31,25,1,100
13/06/2018 00:31,25,1,100
13/06/2018 00:31,25,1,100
13/06/2018 00:31,25,1,100
13/06/2018 11:09,50,1,100
