30 Minutes,Lane 1 Flow (Veh/30 Minutes),# Lane Points,% Observed
30/05/2018 22:08,50,1,100
31/05/2018 11:17,25,1,100
31/05/2018 13:50,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 14:13,25,1,100
31/05/2018 15:33,25,1,100
31/05/2018 16:05,50,1,100
31/05/2018 16:59,50,1,100
31/05/2018 17:46,50,1,100
31/05/2018 18:31,50,1,100
31/05/2018 18:31,50,1,100
31/05/2018 19:18,50,1,100
31/05/2018 19:18,50,1,100
01/06/2018 00:04,25,1,100
01/06/2018 00:41,25,1,100
01/06/2018 1:13,25,1,100
01/06/2018 1:13,25,1,100
01/06/2018 15:40,25,1,100
01/06/2018 15:52,25,1,100
01/06/2018 16:24,25,1,100
01/06/2018 18:45,25,1,100
01/06/2018 18:45,25,1,100
01/06/2018 21:27,75,1,100
01/06/2018 22:06,75,1,100
01/06/2018 22:41,75,1,100
01/06/2018 23:13,75,1,100
01/06/2018 23:37,75,1,100
02/06/2018 00:12,25,1,100
02/06/2018 00:36,25,1,100
02/06/2018 00:52,25,1,100
02/06/2018 00:52,25,1,100
02/06/2018 00:52,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 21:59,25,1,100
04/06/2018 10:09,25,1,100
04/06/2018 10:17,25,1,100
04/06/2018 10:59,25,1,100
04/06/2018 11:40,25,1,100
04/06/2018 14:18,25,1,100
04/06/2018 17:23,50,1,100
04/06/2018 17:46,50,1,100
04/06/2018 18:30,50,1,100
04/06/2018 18:30,50,1,100
04/06/2018 19:42,75,1,100
04/06/2018 19:53,75,1,100
04/06/2018 20:32,75,1,100
04/06/2018 21:07,75,1,100
04/06/2018 22:13,25,1,100
04/06/2018 22:27,25,1,100
04/06/2018 22:56,25,1,100
04/06/2018 23:16,25,1,100
05/06/2018 23:49,25,1,100
05/06/2018 00:16,25,1,100
05/06/2018 00:16,25,1,100
05/06/2018 00:16,25,1,100
05/06/2018 1:50,25,1,100
05/06/2018 11:06,50,1,100
05/06/2018 11:30,50,1,100
05/06/2018 24:07,50,1,100
05/06/2018 24:07,50,1,100
05/06/2018 13:11,50,1,100
05/06/2018 13:42,50,1,100
05/06/2018 14:32,50,1,100
05/06/2018 15:11,50,1,100
05/06/2018 15:42,50,1,100
05/06/2018 16:07,50,1,100
05/06/2018 16:36,50,1,100
05/06/2018 17:12,50,1,100
05/06/2018 17:37,50,1,100
05/06/2018 18:01,50,1,100
05/06/2018 18:42,75,1,100
05/06/2018 19:12,75,1,100
05/06/2018 19:39,75,1,100
05/06/2018 19:46,75,1,100
05/06/2018 22:34,25,1,100
05/06/2018 23:06,25,1,100
05/06/2018 23:38,25,1,100
06/06/2018 23:45,25,1,100
06/06/2018 00:28,25,1,100
06/06/2018 1:06,25,1,100
06/06/2018 1:06,25,1,100
06/06/2018 1:06,25,1,100
06/06/2018 1:06,25,1,100
06/06/2018 11:16,25,1,100
06/06/2018 24:11,25,1,100
06/06/2018 24:33,25,1,100
06/06/2018 24:33,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 14:32,25,1,100
06/06/2018 15:07,25,1,100
06/06/2018 15:36,25,1,100
06/06/2018 16:04,25,1,100
06/06/2018 16:32,25,1,100
06/06/2018 16:32,25,1,100
06/06/2018 16:32,25,1,100
06/06/2018 18:00,75,1,100
06/06/2018 18:41,75,1,100
06/06/2018 18:41,75,1,100
06/06/2018 19:26,75,1,100
06/06/2018 20:13,75,1,100
06/06/2018 22:12,50,1,100
06/06/2018 22:36,50,1,100
06/06/2018 23:13,25,1,100
06/06/2018 23:28,25,1,100
07/06/2018 00:12,25,1,100
07/06/2018 00:12,25,1,100
07/06/2018 00:46,50,1,100
07/06/2018 1:26,25,1,100
07/06/2018 11:36,25,1,100
07/06/2018 13:51,25,1,100
07/06/2018 14:37,25,1,100
07/06/2018 15:02,25,1,100
07/06/2018 15:37,25,1,100
07/06/2018 15:53,25,1,100
07/06/2018 16:39,25,1,100
07/06/2018 17:12,25,1,100
07/06/2018 17:37,25,1,100
07/06/2018 18:05,25,1,100
07/06/2018 18:05,25,1,100
07/06/2018 19:11,50,1,100
07/06/2018 19:23,50,1,100
07/06/2018 20:10,50,1,100
07/06/2018 20:34,50,1,100
07/06/2018 21:44,75,1,100
07/06/2018 22:42,25,1,100
07/06/2018 23:10,25,1,100
07/06/2018 23:28,25,1,100
08/06/2018 00:08,25,1,100
08/06/2018 00:08,25,1,100
08/06/2018 00:52,25,1,100
08/06/2018 00:52,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 2:02,25,1,100
08/06/2018 10:50,25,1,100
08/06/2018 11:39,25,1,100
08/06/2018 24:11,25,1,100
08/06/2018 24:41,25,1,100
08/06/2018 24:41,25,1,100
08/06/2018 13:34,25,1,100
08/06/2018 13:51,25,1,100
08/06/2018 14:38,25,1,100
08/06/2018 14:38,25,1,100
08/06/2018 15:31,75,1,100
08/06/2018 16:09,75,1,100
08/06/2018 16:09,75,1,100
08/06/2018 16:46,75,1,100
08/06/2018 17:43,75,1,100
08/06/2018 18:01,75,1,100
08/06/2018 18:01,75,1,100
08/06/2018 18:44,75,1,100
08/06/2018 19:41,75,1,100
08/06/2018 22:52,75,1,100
08/06/2018 23:38,75,1,100
09/06/2018 00:00,75,1,100
09/06/2018 00:35,25,1,100
09/06/2018 00:59,25,1,100
09/06/2018 1:30,25,1,100
09/06/2018 24:54,50,1,100
